doc_type,filename,n_pages,n_chars,chars_per_page,is_scanned,title_by_font,title_by_keyword,n_articles,n_circled,n_numbered,n_tables,structure,compliance_no,compliance_date,error
desc,hana_desc_derivatives_jangoepasaengsangpumseolmyeongseo(wiheom)Target Redemption Forward(gogaekmaesu)_20251208.pdf,8,12550,1568,False,장외파생상품설명서,장외파생상품설명서,2,0,0,8,flat,,,
desc,hana_desc_digital_banking_gieopjeonjageumyung_seobiseu_seolmyeongseo_20260219.pdf,2,3233,1616,False,『기업전자금융』 서비스 설명서,『기업전자금융』 서비스 설명서,0,0,10,7,numbered,,,
desc,hana_desc_digital_banking_gieopQRgyeolje_seobiseu_20260618.pdf,2,2005,1002,False,『기업QR결제 서비스』 설명서,『기업 QR 결제 서비스』 설명서,0,0,0,0,flat,,,
desc,hana_desc_digital_banking_haeoe_ATM_chulgeum_seobiseu_20260427.pdf,2,2482,1241,False,『해외 ATM 출금 서비스』 설명서,『해외 ATM 출금 서비스』 설명서,0,4,3,2,flat,,,
desc,hana_desc_digital_banking_hana_hap(maideiteo_seobiseu)_20260625.pdf,2,1590,795,False,『하나 합(마이데이터 서비스)』 설명서,『하나 합(마이데이터 서비스)』 설명서,0,0,0,1,flat,,,
desc,hana_desc_digital_banking_jehyusa_haeoe_ATM_chulgeum_seobiseu_20260427.pdf,2,2775,1387,False,『제휴사 해외 ATM 출금 서비스』 설명서,『제휴사 해외 ATM 출금 서비스』 설명서,0,8,4,3,flat,,,
desc,hana_desc_fx_easy-one_oehwasonggeumseobiseu_20260119.pdf,2,2096,1048,False,『easy-one 외화송금서비스』 상품설명서,『easy-one 외화송금서비스』 상품설명서,0,0,4,4,flat,,,
desc,hana_desc_fx_gaeinbaengking_hwanjeonjigap_seobiseu seolmyeongseo_20260313.pdf,2,2267,1133,False,『개인뱅킹 환전지갑 서비스 설명서』,『개인뱅킹 환전지갑 서비스 설명서』,0,0,4,2,flat,,,
desc,hana_desc_fx_gogaeksenteo_hwanjeonjigap_seobiseu_20260330.pdf,2,2135,1067,False,『고객센터 환전지갑 서비스 설명서』,『고객센터 환전지갑 서비스 설명서』,0,9,4,1,flat,,,
desc,hana_desc_fx_hana-weseuteonyunion_wollessonggeum_seobiseu_20250718.pdf,1,1545,1545,False,『하나-웨스턴유니온 월렛송금』 서비스 설명서,『하나-웨스턴유니온 월렛송금』 서비스 설명서,0,0,3,1,flat,,,
desc,hana_desc_fx_hanawonkyugieop_hwanjeonjigap_seobiseu_seolmyeongseo_20260227.pdf,1,1364,1364,False,『하나원큐기업 환전지갑 서비스 설명서』,『하나원큐기업 환전지갑 서비스 설명서』,0,0,2,1,flat,,,
