hard_top1,hard_gap15,blank_ratio,to_llm,tp,fn,fp,tn,refusal_accuracy,false_answer_rate,over_refusal_rate,answer_accuracy,precision,f1,balanced_accuracy,n,cost
0.75,0.08,0.6,25,27,6,1,19,0.8182,0.1818,0.05,0.95,0.9643,0.8852,0.8841,53,0.41359999999999997
0.5,0.03,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.03,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.05,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.05,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.08,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.08,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.12,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.5,0.12,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.03,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.03,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.05,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.05,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.08,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.08,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.12,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.55,0.12,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.6,0.03,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.6,0.03,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.65,0.03,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.65,0.03,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.7,0.03,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.7,0.03,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.75,0.03,0.5,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.75,0.03,0.6,27,26,7,0,20,0.7879,0.2121,0.0,1.0,1.0,0.8814,0.8939,53,0.4242
0.7,0.12,0.35,24,27,6,2,18,0.8182,0.1818,0.1,0.9,0.931,0.871,0.8591,53,0.4636
0.6,0.05,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.6,0.05,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.6,0.08,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.6,0.08,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.6,0.12,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.6,0.12,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.65,0.05,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.65,0.05,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.65,0.08,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.65,0.08,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.65,0.12,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.65,0.12,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.7,0.05,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.7,0.05,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.7,0.08,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.7,0.08,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.75,0.05,0.5,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.75,0.05,0.6,26,26,7,1,19,0.7879,0.2121,0.05,0.95,0.963,0.8667,0.8689,53,0.4742
0.7,0.12,0.5,25,26,7,2,18,0.7879,0.2121,0.1,0.9,0.9286,0.8525,0.8439,53,0.5242
0.7,0.12,0.6,25,26,7,2,18,0.7879,0.2121,0.1,0.9,0.9286,0.8525,0.8439,53,0.5242
