refuse_top1,refuse_gap,answer_top1,answer_gap,uncertain,tp,fn,fp,tn,refusal_accuracy,false_answer_rate,over_refusal_rate,answer_accuracy,precision,f1,balanced_accuracy,n,cost
0.8,0.18,0.94,0.38,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.8,0.18,0.94,0.42,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.88,0.3,16,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.88,0.34,18,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.88,0.38,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.88,0.42,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.9,0.3,16,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.9,0.34,18,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.9,0.38,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.9,0.42,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.92,0.3,16,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.92,0.34,18,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.92,0.38,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.92,0.42,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.94,0.3,16,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.94,0.34,18,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.94,0.38,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.84,0.14,0.94,0.42,19,24,9,2,18,0.7273,0.2727,0.1,0.9,0.9231,0.8136,0.8136,53,0.6454
0.72,0.14,0.88,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.88,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.88,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.88,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.9,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.9,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.9,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.9,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.92,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.92,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.92,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.92,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.94,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.94,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.94,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.14,0.94,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.88,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.88,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.88,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.88,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.9,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.9,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.9,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.9,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.92,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.92,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.92,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.92,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.94,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.94,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.94,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.72,0.18,0.94,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.88,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.88,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.88,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.88,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.9,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.9,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.9,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.9,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.92,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.92,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.92,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.92,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.94,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.94,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.94,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.76,0.1,0.94,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.88,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.88,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.88,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.88,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.9,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.9,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.9,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.9,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.92,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.92,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.92,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.92,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.94,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.94,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.94,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.8,0.1,0.94,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.88,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.88,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.88,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.88,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.9,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.9,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.9,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.9,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.92,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.92,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.92,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.92,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.94,0.3,17,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.94,0.34,19,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.94,0.38,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.84,0.1,0.94,0.42,20,23,10,2,18,0.697,0.303,0.1,0.9,0.92,0.7931,0.7985,53,0.706
0.68,0.06,0.88,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.88,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.88,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.88,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.9,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.9,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.9,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.9,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.92,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.92,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.92,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.92,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.94,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.94,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.94,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.06,0.94,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.88,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.88,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.88,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.88,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.9,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.9,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.9,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.9,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.92,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.92,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.92,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.92,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.94,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.94,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.94,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.1,0.94,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.14,0.88,0.3,18,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.14,0.88,0.34,20,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.14,0.88,0.38,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
0.68,0.14,0.88,0.42,21,22,11,2,18,0.6667,0.3333,0.1,0.9,0.9167,0.7719,0.7833,53,0.7666
